userId,betweenness,closeness
user_df3010d766f142d48d96661099201131,0.09177854507288005,0.6304347826086957
user_93b8429969f8486bb6679dd51f0c1a20,0.08532732832301801,0.5686274509803921
user_bd919dc5b42f40089edca0b53326996a,0.06973492435315096,0.5178571428571429
user_5237d2d09c1d426c929009dd6537682e,0.06301369022410025,0.5686274509803921
user_9351b451388d43958e89b8f450b1d3e0,0.05129285055393429,0.5178571428571429
user_3c98389bc0f74a3c86d1c0086fb6ea9e,0.042974056735466476,0.5370370370370371
user_187d28cd7d5140da9387ba0e28a577a5,0.041613065027473896,0.5272727272727272
user_0431a8d452784cacb460f2548f8532b3,0.03968340651910631,0.5471698113207547
user_43e2e0bde879410e97cb5fc33fee55ec,0.03929387183697529,0.58
user_d91046b27acb4628b79cede2a16112d3,0.03746895993346297,0.5471698113207547
user_e3d22b02bac141c1bb31e0c9db842790,0.0365955329362675,0.5087719298245614
user_59cc4715e4e2407cabf89fe044ffaeb8,0.0347125524311485,0.5087719298245614
user_78dbb1b3ff2c4d6e9425de9004ea44c3,0.0345684544213956,0.5370370370370371
user_67e0ac8de81943689a8f25409bd2d7a7,0.03229501440074462,0.58
user_2d31360f1f024d97be84c2dff1ae334f,0.0313235481275542,0.5918367346938775
user_3662a358ccfe45f689773738858e1da6,0.0301525494250429,0.58
user_dd29d0e682844f9e96a036f7af167ad6,0.02955081317150283,0.5178571428571429
user_dc8922b18ab04b14b68b2575c67ae284,0.028611854073676737,0.5178571428571429
user_49fadd7017dc47a88605c8ea57226243,0.025126489889420924,0.5686274509803921
user_896c3bfad6384668b92e612532692391,0.0227778755180233,0.5087719298245614
user_3cc3daffb2ef45e2a18b3e887691b400,0.02029148770672966,0.5087719298245614
user_223c6fa80c4e45d0a739bab78d415db0,0.017247766400185986,0.4603174603174603
user_d3463621188f4c269b986b38defbdca9,0.016874678896556614,0.4461538461538462
user_133dbb16f73a4caa9b386653132a23ae,0.015872851833442968,0.4393939393939394
user_86546bb262544c3bac50c0db2e47c4e8,0.015436877367296088,0.5576923076923077
user_8fc5c7d2e53e49bab12760ba303a585c,0.013088973834047724,0.4603174603174603
user_2b2e9b0314f147f5986db3b8dfc60a2f,0.012932918525500384,0.58
user_e0e37e30fc224bf3a6237da58f0217b3,0.010865063712970115,0.43283582089552236
user_a24c78a565b147dab17a7020c1ad6f38,0.008522705059035109,0.47540983606557374
user_82e68a9c47b9492c95ecae4d511aba57,0.0046658749706779265,0.3670886075949367
